I
1130 Generated by WorldEditor 2.0.0r4

1     23 0 0 PAK Port Allen
100 17.98 1 0 0.25 0 0 0 09  21.89750068 -159.60689104   58    0 2 0 0 0 27  21.89630932 -159.59976299    0    0 2 0 0 0
110 1 0.25 20.0000 Apron
111  21.89804174 -159.60018560
111  21.89786020 -159.60051374
111  21.89784075 -159.60054888
111  21.89782749 -159.60057285
111  21.89776796 -159.60053714
111  21.89773406 -159.60061063
111  21.89780426 -159.60065923
111  21.89777016 -159.60072680
111  21.89766467 -159.60066428
111  21.89773277 -159.60052529
112  21.89773277 -159.60052529  21.89765857 -159.60048806
111  21.89758319 -159.60052410
111  21.89667843 -159.60099461
112  21.89667843 -159.60099461  21.89663717 -159.60102043
111  21.89661599 -159.60112238
111  21.89647823 -159.60029255
112  21.89658913 -159.60046294  21.89663970 -159.60051170
111  21.89658913 -159.60046294
111  21.89690825 -159.60066488
112  21.89708099 -159.60065699  21.89715818 -159.60061827
111  21.89708099 -159.60065699
111  21.89755967 -159.60041403
112  21.89764458 -159.60032726  21.89766367 -159.60030179
111  21.89764458 -159.60032726
113  21.89780449 -159.60002907
110 2 0.25 52.0000 Pad
111  21.89740900 -159.60110433
111  21.89737391 -159.60108230
111  21.89740529 -159.60102006
113  21.89744158 -159.60104497
110 2 0.25 52.0000 Pad
111  21.89729128 -159.60130496
111  21.89725620 -159.60128293
111  21.89727555 -159.60124498
113  21.89731185 -159.60126989
110 2 0.25 52.0000 Pad
111  21.89755623 -159.60090598
111  21.89752115 -159.60088395
111  21.89754050 -159.60084600
113  21.89757680 -159.60087091
110 2 0.25 52.0000 Pad
111  21.89763811 -159.60076349
111  21.89760303 -159.60074146
111  21.89762238 -159.60070351
113  21.89765868 -159.60072842
110 1 0.25 100.2000 Pad
111  21.89749995 -159.60639296
112  21.89766327 -159.60658202  21.89777670 -159.60663950
111  21.89766327 -159.60658202
111  21.89771771 -159.60689626
111  21.89743112 -159.60695623
111  21.89742252 -159.60690538
113  21.89757917 -159.60687166
110 1 0.25 100.2100 Pad
111  21.89724589 -159.60585139
111  21.89717209 -159.60586312
111  21.89711523 -159.60549804
113  21.89718540 -159.60548761
110 2 0.25 60.0000 lib/airport/pavement/concrete_2D.pol
111  21.89843497 -159.60036517
111  21.89836586 -159.60049147
111  21.89829525 -159.60044371
111  21.89832229 -159.60039594
111  21.89822472 -159.60033017
111  21.89823233 -159.60031688
111  21.89832905 -159.60038137
113  21.89836436 -159.60031822
110 2 0.25 60.0000 lib/airport/pavement/concrete_2D.pol
111  21.89853993 -159.60065079
111  21.89838437 -159.60093291
111  21.89801488 -159.60069643
111  21.89808549 -159.60056982
111  21.89827817 -159.60068784
111  21.89834948 -159.60056205
111  21.89848912 -159.60031570
111  21.89863067 -159.60041088
113  21.89850859 -159.60063330
110 1 0.25 60.0000 lib/airport/pavement/asphalt_4D.pol
111  21.89911998 -159.59982646
111  21.89894443 -159.59989912
112  21.89894443 -159.59989912  21.89875999 -159.59995907
111  21.89861348 -159.59991165
111  21.89850804 -159.59985703
112  21.89850804 -159.59985703  21.89842885 -159.59982621
111  21.89838805 -159.59988956
111  21.89833022 -159.59999211
111  21.89839172 -159.60003825
111  21.89823233 -159.60031688
111  21.89822472 -159.60033017
111  21.89811118 -159.60052866
111  21.89820638 -159.60058069
112  21.89820638 -159.60058069  21.89826511 -159.60050635
111  21.89834948 -159.60056205
111  21.89827817 -159.60068784
111  21.89808549 -159.60056982
111  21.89801488 -159.60069643
111  21.89795582 -159.60065832
111  21.89764437 -159.60118915
112  21.89764437 -159.60118915  21.89737725 -159.60166709
111  21.89746010 -159.60230060
111  21.89822492 -159.60688549
111  21.89816362 -159.60689819
111  21.89738120 -159.60234762
112  21.89758690 -159.60115795  21.89787761 -159.60068608
111  21.89758690 -159.60115795
111  21.89790743 -159.60059129
111  21.89784075 -159.60054888
111  21.89786019 -159.60051373
111  21.89792852 -159.60055542
111  21.89833244 -159.59984841
112  21.89849863 -159.59978404  21.89864051 -159.59980537
111  21.89849863 -159.59978404
111  21.89863916 -159.59983926
112  21.89892572 -159.59983250  21.89909114 -159.59976151
111  21.89892572 -159.59983250
113  21.89909822 -159.59977132
130 Airport Boundary 
111  21.89889499 -159.60037492
111  21.89834601 -159.60134296
111  21.89781817 -159.60105279
111  21.89776524 -159.60103073
111  21.89756297 -159.60138898
111  21.89750732 -159.60158979
111  21.89747303 -159.60176765
111  21.89745627 -159.60193436
111  21.89746055 -159.60212608
111  21.89748381 -159.60235105
111  21.89820857 -159.60671171
111  21.89790684 -159.60717301
111  21.89718885 -159.60722382
111  21.89691880 -159.60701132
111  21.89626368 -159.60311089
111  21.89593051 -159.60316759
111  21.89583503 -159.60258797
111  21.89616237 -159.60252707
111  21.89553105 -159.59873842
111  21.89556864 -159.59850886
111  21.89576494 -159.59831981
111  21.89621420 -159.59828941
111  21.89748996 -159.59904236
111  21.89807929 -159.59958871
113  21.89839172 -159.60003825
120 RH
111  21.89682980 -159.60061688 4
111  21.89678280 -159.60071171
111  21.89680680 -159.60080330 4
115  21.89685379 -159.60090028
120 TL
111  21.89704527 -159.60074100 1
112  21.89688821 -159.60071774  21.89680971 -159.60067129
111  21.89688821 -159.60071774 1
111  21.89680851 -159.60066681
111  21.89680322 -159.60066343 1
115  21.89654096 -159.60049586
120 TL
111  21.89763602 -159.60043327 1
111  21.89704527 -159.60074100 1
111  21.89683413 -159.60085099
111  21.89682706 -159.60085467 1
111  21.89667966 -159.60093145
112  21.89667966 -159.60093145  21.89652695 -159.60100591 1
111  21.89655512 -159.60117634 1
115  21.89665236 -159.60175823
120 WS Circle
112  21.89619113 -159.60281732  21.89619991 -159.60287411 21
112  21.89608280 -159.60298613  21.89599936 -159.60300348 21
112  21.89592470 -159.60286465  21.89591592 -159.60280785 21
114  21.89603742 -159.60269741  21.89611354 -159.60268637 21
1300  21.89776555 -159.60021198  87.47 tie_down props|helos Ramp
1301 B none 
19  21.89714116 -159.59954468 0 WS
19  21.89605932 -159.60284208 1 WS
1051 122900 CTAF
99
